Week,PYTHON,JAVASCRIPT,C++,SQL,KOTLIN,LINUX,RUST,GO,PHP,JAVA,RUBY,TYPESCRIPT,LUA,SWIFT
11/3/2019,65,45,21,40,2,62,14,12,45,95,32,45,9,49
11/10/2019,66,46,21,41,2,60,15,12,47,92,36,48,10,50
11/17/2019,69,47,21,41,2,62,15,13,46,95,35,49,10,50
11/24/2019,61,43,21,38,2,59,15,11,47,84,30,43,9,43
12/1/2019,64,45,20,39,2,61,15,12,44,95,34,46,9,51
12/8/2019,62,44,19,38,2,58,15,12,43,86,34,45,9,48
12/15/2019,57,43,18,38,2,60,16,12,43,82,33,46,10,50
12/22/2019,44,30,13,23,2,48,16,9,36,60,23,28,9,39
12/29/2019,43,29,12,22,2,46,16,9,34,56,21,30,9,33
1/5/2020,58,41,17,37,2,60,16,11,42,81,32,43,9,44
1/12/2020,62,44,18,37,2,60,14,11,44,84,31,47,8,47
1/19/2020,61,43,19,41,2,60,15,11,45,83,31,49,8,46
1/26/2020,63,44,19,38,2,61,15,11,45,88,29,48,9,48
2/2/2020,63,45,19,41,2,65,15,11,42,90,31,48,9,49
2/9/2020,68,47,19,40,3,63,16,12,45,89,30,51,9,50
2/16/2020,71,46,20,41,3,66,16,13,45,95,31,52,10,53
2/23/2020,64,46,22,38,3,64,15,13,43,89,29,50,10,55
3/1/2020,68,47,21,41,3,64,16,13,44,88,32,51,10,55
3/8/2020,62,43,18,36,2,62,14,12,43,80,30,48,9,48
3/15/2020,58,40,17,32,2,63,14,13,39,76,26,43,9,46
3/22/2020,61,38,17,29,2,61,16,13,37,75,26,44,10,44
3/29/2020,64,44,19,30,2,61,18,13,40,81,29,48,11,48
4/5/2020,64,42,18,30,2,61,20,13,39,77,28,47,11,51
4/12/2020,66,42,18,30,2,61,19,13,39,80,27,48,12,51
4/19/2020,68,44,18,32,2,63,19,13,39,82,28,50,12,51
4/26/2020,66,42,18,30,2,62,19,13,39,75,27,47,11,47
5/3/2020,68,42,18,32,2,58,20,13,38,76,27,46,11,47
5/10/2020,67,45,19,32,2,60,21,14,39,79,29,50,12,50
5/17/2020,65,44,18,32,2,61,20,14,39,76,27,50,11,50
5/24/2020,62,42,17,30,2,57,20,13,38,74,26,47,10,46
5/31/2020,62,43,18,32,2,57,20,14,42,77,26,48,12,48
6/7/2020,61,43,17,31,2,57,20,14,41,76,26,48,11,47
6/14/2020,62,43,17,31,2,58,19,13,39,72,27,50,10,46
6/21/2020,60,44,17,32,2,58,19,13,40,74,27,50,10,52
6/28/2020,60,42,16,31,2,56,20,13,39,74,27,50,11,53
7/5/2020,62,44,15,33,2,59,20,13,41,75,28,51,11,53
7/12/2020,64,44,16,33,2,56,21,14,41,77,27,53,10,51
7/19/2020,62,43,16,33,3,54,19,14,41,78,25,53,10,52
7/26/2020,62,43,15,31,2,54,20,13,41,74,26,50,9,49
8/2/2020,60,41,15,31,2,56,19,12,39,72,24,51,10,47
8/9/2020,57,41,15,30,2,52,18,14,39,71,23,48,10,47
8/16/2020,60,41,15,31,2,55,20,13,38,73,26,47,10,47
8/23/2020,58,42,16,32,2,55,21,14,37,72,26,46,10,48
8/30/2020,60,42,17,31,3,57,20,14,38,76,25,51,10,45
9/6/2020,64,43,18,31,2,55,20,13,38,78,26,50,10,47
9/13/2020,69,42,18,33,2,56,18,14,37,77,26,46,10,46
9/20/2020,64,41,19,32,2,56,17,14,38,78,25,45,10,49
9/27/2020,57,35,17,29,2,52,16,12,34,68,22,39,9,39
10/4/2020,58,36,18,31,2,50,16,10,35,72,22,39,9,37
10/11/2020,53,33,17,28,2,49,16,10,32,68,18,34,9,28
10/18/2020,53,33,17,28,2,49,16,10,31,70,17,34,8,31
10/25/2020,52,32,17,27,2,47,15,10,31,66,18,33,8,31
11/1/2020,46,29,16,27,1,45,15,10,29,61,16,31,8,28
11/8/2020,51,31,16,27,2,50,16,10,31,62,17,33,8,28
11/15/2020,52,31,16,28,2,48,14,10,30,67,16,35,9,32
11/22/2020,49,31,16,26,2,46,14,9,32,62,15,31,9,28
11/29/2020,51,32,16,28,2,46,16,9,33,64,16,35,9,26
12/6/2020,54,32,16,27,2,47,16,9,33,62,16,34,9,27
12/13/2020,52,31,15,28,2,46,15,10,32,61,15,34,9,28
12/20/2020,43,27,13,20,1,41,16,9,29,51,14,27,9,26
12/27/2020,37,23,11,15,1,38,22,9,27,45,13,23,13,24
1/3/2021,45,29,13,23,1,43,36,9,32,57,15,30,10,27
1/10/2021,48,31,14,26,2,47,40,10,31,61,16,31,9,26
1/17/2021,52,36,16,28,2,50,33,10,33,65,17,35,10,30
1/24/2021,51,33,16,28,2,48,26,10,34,63,16,33,9,30
1/31/2021,53,32,15,28,2,49,24,11,33,65,16,34,8,32
2/7/2021,51,31,14,28,2,46,24,11,32,64,15,32,8,29
2/14/2021,51,32,15,27,2,49,24,12,34,65,16,34,10,29
2/21/2021,53,36,18,29,2,47,20,11,32,68,15,36,10,32
2/28/2021,58,33,19,29,2,47,22,11,33,67,16,36,10,32
3/7/2021,55,34,18,29,2,47,20,11,33,66,14,34,8,31
3/14/2021,57,35,19,30,2,48,20,12,34,71,16,36,8,33
3/21/2021,56,33,18,30,2,47,21,12,33,66,16,34,9,33
