CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2024-00054394,0 Block HUXLEY AVE,07/05/2024 03:27:00 PM,7,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,IQuinn
2024-00054394,0 Block HUXLEY AVE,07/05/2024 03:27:00 PM,7,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,IQuinn
2024-00054394,0 Block HUXLEY AVE,07/05/2024 03:27:00 PM,7,2024,"Assault, Aggravated",11-5-16,ASSAULT OF HEALTH CARE PROVIDERS OR EMERGENCY SERVICES MEDICAL PERSONNEL,1,IQuinn
2024-00054394,0 Block HUXLEY AVE,07/05/2024 03:27:00 PM,7,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,IQuinn
2024-00054474,0 Block KENNEDY PLZ,07/05/2024 08:30:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CSimanski
2024-00054610,0 Block KENNEDY PLZ,07/06/2024 05:54:35 AM,7,2024,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,JMontilla
2024-00053113,0 Block KENNEDY PLZ,07/02/2024 01:57:43 AM,7,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,CNicholls
2024-00053876,0 Block KENNEDY PLZ,07/04/2024 02:46:55 AM,7,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,CSalinas
2024-00053876,0 Block KENNEDY PLZ,07/04/2024 02:46:55 AM,7,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,CSalinas
2024-00053876,0 Block KENNEDY PLZ,07/04/2024 02:46:55 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CSalinas
2024-00057276,0 Block KENNEDY PLZ,07/14/2024 04:08:00 PM,7,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,Central Station
2024-00059864,0 Block KENNEDY PLZ,07/22/2024 06:41:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2024-00060021,0 Block KENNEDY PLZ,07/23/2024 10:55:00 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,JGreeno
2024-00060827,0 Block KENNEDY PLZ,07/26/2024 02:24:50 AM,7,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,CNicholls
2024-00062276,0 Block KENNEDY PLZ,07/31/2024 12:44:11 AM,7,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,CNicholls
2024-00062873,0 Block KENNEDY PLZ,08/02/2024 01:36:04 AM,8,2024,Assistance Rendered,Not Used,No violations,0,ADaCruz
2024-00063966,0 Block KENNEDY PLZ,08/05/2024 06:05:00 PM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,FTavares
2024-00064707,0 Block KENNEDY PLZ,08/08/2024 02:28:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,TJones
2024-00067195,0 Block KENNEDY PLZ,08/16/2024 04:38:00 PM,8,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,MPetteruto
2024-00067504,0 Block KENNEDY PLZ,08/17/2024 04:52:00 PM,8,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,NColicci
2024-00068569,0 Block KENNEDY PLZ,08/21/2024 12:23:00 AM,8,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,NColicci
2024-00068979,0 Block KENNEDY PLZ,08/22/2024 12:59:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JPalmer
2024-00069020,0 Block KENNEDY PLZ,08/22/2024 03:41:00 PM,8,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,AWagoner
2024-00070134,0 Block KENNEDY PLZ,08/25/2024 10:50:00 PM,8,2024,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,JLeroux
2024-00070799,0 Block KENNEDY PLZ,08/28/2024 05:05:30 AM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,RBlaisdell
2024-00031327,0 Block KENNEDY PLZ,04/26/2024 03:16:00 PM,4,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,ACalle
2024-00031550,0 Block KENNEDY PLZ,04/27/2024 05:41:39 AM,4,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,CNicholls
2024-00032589,0 Block KENNEDY PLZ,04/30/2024 03:50:00 PM,4,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,ACalle
2024-00032629,0 Block KENNEDY PLZ,04/30/2024 05:45:00 PM,4,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,DAnderson
