OBJECTID,X Coordinate (Local Projection),Y Coordinate (Local Projection),Type of Bias,Count of Victims,RMS ID,Status of Crime,Type of Offense/Crime,Notes on Crime,Type of Location,Type of Victim,Race of Victims,Gender of Victim(s),Date of Crime,Obfuscated Address of Crime,Date of Status Change,Created On,Last Edited On,Latitude,Longitude,Type of Bias,x,y
1,684608,867365,Anti-Islamic (Muslim),3,TE201012640,Active,Intimidation,,Department/Discount Store,Individual,,,1/20/2010 7:00:00 AM,50XX S ARIZONA MILLS,,5/25/2021 4:29:48 PM,10/15/2021 8:29:16 PM,33.384323,-111.967093,24,684608,867365
2,703527,878915,Anti-Gay (Male),1,TE2010132348,Active,Non DV Assault,,Residence/Home,Individual,,,8/28/2010 7:00:00 AM,19XX E APACHE BLVD,,5/25/2021 4:29:48 PM,10/15/2021 8:30:31 PM,33.416077,-111.905108,41,703527,878915
3,698856,878435,Anti-Gay (Male),1,TE201028029,Active,Non DV Assault,,Highway/Road/Street,Individual,,,2/19/2010 7:00:00 AM,12XX E APACHE BLVD,,5/25/2021 4:29:48 PM,10/15/2021 8:29:41 PM,33.414758,-111.920416,41,698856,878435
4,693898,882345,Anti-Black,2,TE201094607,Active,Intimidation,,Residence/Home,Individual,,,6/15/2010 7:00:00 AM,,,5/25/2021 4:29:48 PM,10/15/2021 8:30:17 PM,33.425503,-111.936667,12,693898,882345
5,690272,878394,Anti-Islamic (Muslim),1,TE2011111420,Inactive,Criminal Damage,Later found to not be bias crime,Residence/Home,Individual,,,6/30/2011 7:00:00 AM,13XX S JUDD ST   ,,5/25/2021 4:29:48 PM,10/15/2021 8:31:03 PM,33.414641,-111.948548,24,690272,878394
6,704892,865011,Anti-Black,1,TE2011172980,Active,Criminal Damage,,Residence/Home,Individual,,,11/4/2011 7:00:00 AM,20XX E RICE DR   ,,5/25/2021 4:29:48 PM,10/15/2021 8:31:16 PM,33.377862,-111.900641,12,704892,865011
7,702279,867860,Anti-Black,1,TE201149273,Active,Non DV AGG Assault,,Highway/Road/Street,Individual,,,4/1/2011 7:00:00 AM,US 60 / MCCLINTOCK DR,,5/25/2021 4:29:48 PM,10/15/2021 8:30:45 PM,33.385693,-111.9092,12,702279,867860
8,689552,887490,Anti-Gay (Male),1,TE2012116830,Active,Non DV Assault,,Parking Lot/Garage,Individual,,,9/9/2012 7:00:00 AM,10XX N PARKSIDE DR,,5/25/2021 4:29:48 PM,10/15/2021 8:32:03 PM,33.43964,-111.950917,41,689552,887490
9,690312,882620,Anti-Jewish,2,TE2012129208,Active,Criminal Damage,,Residence/Home,Individual,,Male,10/5/2012 7:00:00 AM,7XX W BROWN ST,,5/25/2021 4:29:48 PM,10/15/2021 8:32:12 PM,33.426256,-111.948421,21,690312,882620
10,702304,878435,Anti-Black,1,TE2012159036        ,Active,Non DV AGG Assault,,Air/Bus/Train/Terminal,Individual,African American,,12/6/2012 7:00:00 AM,18XX E APACHE BLVD,,5/25/2021 4:29:48 PM,10/15/2021 8:32:24 PM,33.414758,-111.909116,12,702304,878435
11,707072,847934,Anti-Hispanic,2,TE201253072,Inactive,Intimidation,Later found to not be bias crime,Residence/Home,Individual,,,4/27/2012 7:00:00 AM,17XX S PRICE RD,,5/25/2021 4:29:48 PM,10/15/2021 8:31:27 PM,33.330926,-111.893512,32,707072,847934
12,701654,859875,Anti-Gay (Male),4,TE201283424,Active,Non DV Assault,,Restaurant,Individual,,,7/1/2012 7:00:00 AM,18XX E GUADALUPE RD,,5/25/2021 4:29:48 PM,10/15/2021 8:31:38 PM,33.363747,-111.911249,41,701654,859875
13,681353,866190,Anti-Jewish,1,TE201298551,Active,Criminal Damage,,Residence/Home,Individual,,Female,8/3/2012 7:00:00 AM,27XX W ELLIS DR,,5/25/2021 4:29:48 PM,10/15/2021 8:31:51 PM,33.381089,-111.977754,21,681353,866190
14,691092,856631,Anti-Lesbian (Female),1,TE201310821         ,Active,Non DV Assault,,Highway/Road/Street,Individual,Unknown,1 Male / 1 Female,1/25/2013 7:00:00 AM,S KYRENE RD / W GROVE PKWY,,5/25/2021 4:29:48 PM,10/15/2021 8:32:46 PM,33.354828,-111.945841,42,691092,856631
15,685934,881047,Anti-Black,2,TE2013118026        ,Inactive,Criminal Damage,,Residence/Home,Individual,African American,Male,9/16/2013 7:00:00 AM,15XX W UNIVERSITY DR,,5/25/2021 4:29:48 PM,10/15/2021 8:32:57 PM,33.421928,-111.962769,12,685934,881047
16,707917,878441,Anti-Gay (Male),1,TE20131840          ,Early Case Closure,Non DV Assault,,Highway/Road/Street,Individual,American Indian / Alaskan Native,,1/5/2013 7:00:00 AM,E APACHE BLVD / S PRICE RD,,5/25/2021 4:29:48 PM,10/15/2021 8:32:36 PM,33.414772,-111.890721,41,707917,878441
17,698892,846837,Anti-White,1,TE2014112400        ,Early Case Closure,Criminal Damage,,Highway/Road/Street,Society/Public,White,Female,8/30/2014 7:00:00 AM,93XX S KENNETH PL,,5/25/2021 4:29:48 PM,10/15/2021 8:33:19 PM,33.327913,-111.920294,11,698892,846837
18,703692,846937,Anti-White,1,TE2014142674        ,Early Case Closure,Criminal Damage,,Residence/Home,Individual,White,,10/31/2014 7:00:00 AM,19XX E JEANINE DR,,5/25/2021 4:29:48 PM,10/15/2021 8:33:28 PM,33.328188,-111.904579,11,703692,846937
19,692895,879998,Anti-Jewish,1,TE201438171         ,Early Case Closure,Criminal Damage,,Church/Synagogue/Temple,Religious Organization,,Female,3/24/2014 7:00:00 AM,10XX S MILL AVE,,5/25/2021 4:29:48 PM,10/15/2021 8:33:07 PM,33.419052,-111.939953,21,692895,879998
20,697021,889078,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",1,TE20162441          ,Inactive,Non DV AGG Assault,,Convenience Store,Individual,American Indian / Alaskan Native,,1/7/2016 7:00:00 AM,E WEBER DR / N SCOTTSDALE RD,,5/25/2021 4:29:48 PM,10/15/2021 8:33:41 PM,33.444009,-111.926433,43,697021,889078
21,693718,881927,Anti-Islamic (Muslim),1,TE201827087,Closed,Burglary No Force,,Church/Synagogue/Temple/Mosque                                                 ,Religious Organization,,,3/4/2016 7:00:00 AM,1XXE 6TH ST,,5/25/2021 4:29:48 PM,10/15/2021 8:33:54 PM,33.424354,-111.937257,24,693718,881927
22,687815,888572,Anti-Black,1,TE2019113029,Closed,Assault,,Air/Bus/Train/Terminal,Individual,African American,Female,9/28/2019 7:00:00 AM,N PRIEST DR/ W WASHINGTON ST,,5/25/2021 4:29:48 PM,10/15/2021 8:34:27 PM,33.442612,-111.956613,12,687815,888572
23,697170,880953,Anti-Black,1,TE201918121,Early Case Closure,Disorderly Conduct,,Air/Bus/Train/Terminal,Individual,African American,Female,2/11/2019 7:00:00 AM,8XX S RURAL RD,,5/25/2021 4:29:48 PM,10/15/2021 8:34:03 PM,33.421678,-111.925942,12,697170,880953
24,692216,880948,Anti-Black,1,TE20195494,Early Case Closure,Disorderly Conduct,,Highway/Road/Street,Individual,African American,Female,5/8/2019 7:00:00 AM,1XX W UNIVERSITY DR    ,,5/25/2021 4:29:48 PM,10/15/2021 8:34:16 PM,33.421662,-111.942179,12,692216,880948
25,703457,878437,Anti-Hispanic,,TE202012855,Inactive,Theft,,Parking Lot/Garage,Business,,,2/1/2020 7:00:00 AM,19XX E APACHE BLVD,,5/25/2021 4:29:48 PM,10/15/2021 8:34:43 PM,33.414763,-111.905337,32,703457,878437
26,686807,882737,Anti-Black,8,TE202050781,Closed,Assault,,Residence/Home,Individual,"African American, White",Female and Male,5/10/2020 7:00:00 AM,13XX W 4TH ST,,5/25/2021 4:29:48 PM,10/15/2021 8:34:54 PM,33.426574,-111.95991,12,686807,882737
